warehouse,store_id,item_id,adi,cv2,dist_to_median
BA,2574246,48062,2.0,1.7108975756171774,0.0020746102442993283
BA,518533,48062,2.0,1.7837837802162158,0.00214457942874198
BA,2673528,75792,2.0,1.6610590136932866,0.0049596328208663595
